0,0.00000000,0.00000000
1,0.10833078,1.03263712
2,0.21666156,0.75296523
3,0.32499234,0.91093687
4,0.43332312,1.08647581
5,0.54165391,1.26028020
6,0.64998469,1.42136092
7,0.75831547,1.56544503
8,0.86664625,1.69237772
9,0.97497703,1.63560714
10,1.08330781,1.76588886
11,1.19163859,1.88462249
12,1.29996937,1.99263318
13,1.40830016,2.09109283
14,1.51663094,2.46134208
15,1.62496172,2.48188804
16,1.73329250,2.50855514
17,1.84162328,2.54053692
18,1.94995406,2.57711173
19,2.05828484,2.61763975
20,2.16661562,2.66155665
21,2.27494640,2.70836306
22,2.38327719,2.75761554
23,2.49160797,2.80891759
24,2.59993875,2.86191145
25,2.70826953,2.91627070
26,2.81660031,2.97169408
27,2.92493109,3.02789951
28,3.03326187,3.08461875
29,3.14159265,3.14159265
